variant,change_pct
baseline,5.7480684799372295
no age restriction,8.369046718562267
earner floor 14+,5.800315339604345
earner floor 18+,5.853379141352044
split boundary 45%,5.861488854195551
split boundary 35%,6.775886454753732
median-of-ratios,8.14705905637425
household-size adjusted,20.225391247652546
